"Stride (floats)","elements touched","tavg (ns) @ n=16777216"
1,16777216,0.665683
2,8388608,0.840962
4,4194304,1.591468
8,2097152,2.956325
16,1048576,6.198728
32,524288,7.911181
64,262144,7.922912
128,131072,6.749230
256,65536,6.832314
512,32768,7.246953
1024,16384,8.252984
2048,8192,8.770532
4096,4096,10.902101
8192,2048,12.762583
16384,1024,15.052253
32768,512,14.173162
65536,256,11.760134
131072,128,18.146324
262144,64,15.888488
524288,32,10.971022
1048576,16,10.425287
2097152,8,5.285895
4194304,4,4.529625
8388608,2,1.874262
