N,Naive (ns),Tiled (ns),Transposed (ns),Cublas (ns),CPU 16 Thds OMP (ns)
16,389060,370827,373647,756566,0
32,381069,373190,363349,992360,0
64,395575,382160,381878,1046300,0
128,478827,430707,424973,1068270,0
256,837773,713875,696228,2653858,0
512,3090157,2597477,2541503,8399628,0
1024,13059181,11792558,11676331,62852985,0
2048,76882697,70219165,69870969,86767043,0
4096,567737007,512439362,510791779,631613331,0
8192,4887012293,4004880142,3988960533,2843350797,0
16384,52586665957,33179774159,32489813572,12975982514,0
